SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
Bison Capital,Xynomic,XYNO,9/13/2018,5/14/2019,391,632%,Healthcare,Asia,99.80%,$2.08 ,$0.07 ,#N/A,"Yinglin Mark Xu, MBA","Yinglin Mark Xu, MBA","Yinglin Mark Xu, MBA","Wentao Wu, PhD, MBA","Jin Wei Kou, CPA",Yong Cui,"Thomas Folinsbee, CFA",Adam Inglis,"Charles Vincent Prizzi, MBA",Tingzhi Qian,"Jia Yuan Tong, MD, PhD","Pei Dong Wu, MBA",,,,,,,,,8/12/2019,11/10/2019,5/8/2020,#N/A,4.09,#N/A,#N/A
Churchill Capital,Clarivate,CLVT,1/14/2019,5/13/2019,"4,200",609%,Technology,US/Canada,0.00%,$26.06 ,,44.5888,Jerre Lee Stead,Jerre Lee Stead,#N/A,Mike Morhardt,Richard Hanks,"Jane L. Okun Bomba, MBA, CPA",Usama N. Cortas,"Kosty Gilis, MBA","Balakrishnan S. Iyer, MBA","Adam T. Levyn, MBA","Nicholas Macksey, CFA",Anthony Munk,"Charles J. Neral, MBA","Richard W. Roedel, CPA",Sheryl G. von Blucher,,,,,,8/11/2019,11/9/2019,5/7/2020,#N/A,17.1,#N/A,#N/A
CM Seven Star,Kaixin Auto Group,KXIN,11/6/2018,4/30/2019,454,220%,Automotive,Asia,98.90%,$2.57 ,$0.13 ,1.3159,"Yi Zhou Chen, MBA",Mingjun Lin,#N/A,#N/A,"Yang Yi, CPA",Lin Cong,James Jian Liu,,,,,,,,,,,,,,7/29/2019,10/27/2019,4/24/2020,#N/A,1.4874,#N/A,#N/A
Vantage Energy,N/A,,N/A,4/17/2019,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,7/16/2019,10/14/2019,4/11/2020,#N/A,#N/A,#N/A,#N/A
Saban Capital,N/A,,N/A,3/31/2019,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,6/29/2019,9/27/2019,3/25/2020,#N/A,#N/A,#N/A,#N/A
Hunter Maritime,NCF Wealth Holdings,HUNTF,10/5/2018,3/21/2019,"2,000",1318%,Financial,Asia,98.40%,$0.16 ,$0.02 ,#N/A,#N/A,"Jia Sheng, EMBA","Huanxiang Li, EMBA",Xin Li,"Li Wei, MBA","X Li David, PhD","Huanxiang Li, EMBA","Jia Sheng, EMBA","Tao Yang, PhD",,,,,,,,,,,,6/19/2019,9/17/2019,3/15/2020,#N/A,5.18,#N/A,#N/A
Haymaker Acq,OneSpaWorld,OSW,11/1/2018,3/19/2019,850,258%,Consumer,Europe,3.90%,$11.08 ,$3.80 ,96.5772,"Leonard I. Fluxman, CPA","Leonard I. Fluxman, CPA",#N/A,Stephen B. Lazarus,Stephen B. Lazarus,"Maryam Banikarim, MBA",Glenn J. Fusfield,"Adam Hasiba, MBA","Andrew R. Heyer, MBA","Steven J. Heyer, MBA","Marc Magliacano, MBA",Walter F McLallen,"Stephen W. Powell, MBA","Jeffrey E. Stiefler, MBA",,,,,,,6/17/2019,9/15/2019,3/13/2020,#N/A,14.23,#N/A,#N/A
Platinum Eagle,Target Hospitality,TH,11/13/2018,3/15/2019,"1,397",430%,Travel & Hospitality,US/Canada,55.90%,$3.32 ,$0.35 ,19.5155,Stephen James Robertson,James Brad Archer,James Brad Archer,Travis Kelley,"Eric T. Kalamaras, MBA",James Brad Archer,Eli Baker,Joy A. Berry,"Marty Jimmerson, Jr., CPA",Gary Lindsay,"Jeffrey Franklin Sagansky, MBA",Andrew P. Studdert,,,,,,,,,6/13/2019,9/11/2019,3/9/2020,#N/A,9.78,#N/A,#N/A
Union Acq,Bioceres,BIOX,11/9/2018,3/14/2019,456,393%,Food,LatAm,98.90%,$12.37 ,$3.45 ,0.8269,#N/A,"Federico Trucco, PhD",#N/A,"Jorge Wagner, MBA, CPA",Enrique Lopez Lecube,Kyle P. Bransfield,Carlos Ivan Camargo de Colón,Gloria Montaron Estrada,Ari Solomon Freisinger,Enrique Lopez Lecube,"Federico Trucco, PhD",Natalia Zang,,,,,,,,,6/12/2019,9/10/2019,3/8/2020,#N/A,4.28,#N/A,#N/A
GTY Technology,GovTech ,GTYH,9/12/2018,2/19/2019,560,101%,Technology,US/Canada,81.70%,$6.21 ,$0.70 ,41.7498,"William D. Green, MBA",T. J. Parass,T. J. Parass,David Farrell,"John J. Curran, MBA",Randy Cowen,T. J. Parass,Joseph M. Tucci,Charles E. Wert,"Harry L. You, MBA",,,,,,,,,,,5/20/2019,8/18/2019,2/14/2020,#N/A,9.37,#N/A,#N/A
