SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
New Providence Acq,AST SpaceMobile,ASTS,12/16/2020,4/6/2021,"1,392",605%,Technology,US/Canada,,$8.96 ,$2.69 ,55.6725,Abel Avellan,Abel Avellan,#N/A,#N/A,"Thomas E. Severson, Jr., CPA",Tareq Amin,Adriana Cisneros de Griffin,"Alex Coleman, MBA",Luke Ibbetson,"Edward Knapp, MBA","Hiroshi Mikitani, MBA",Ronald Rubin,"Richard Sarnoff, MBA","Thomas E. Severson, Jr., CPA","Julio A. Torres, MBA",,,,,,7/5/2021,10/3/2021,4/1/2022,#N/A,8.66,#N/A,#N/A
Collective Growth,Innoviz Technologies,INVZ,12/11/2020,4/5/2021,"1,033",689%,Automotive,Europe,,$11.04 ,$2.85 ,4.09,Amichai Steimberg,"Omer David Keilaf, MBA",#N/A,Udy Gal-On,Eldar Cegla,Aharon Aharon,"Dan Michael Falk, MBA","Omer David Keilaf, MBA",Ronit Maor,"Oren Rosenzweig, MBA","James Sheridan, MBA","Orit Stav, MBA",,,,,,,,,7/4/2021,10/2/2021,3/31/2022,#N/A,10.845,#N/A,#N/A
Replay Acq,Finance of America,FOA,10/13/2020,4/1/2021,"2,012",700%,Financial,US/Canada,68.70%,$10.10 ,$1.29 ,69.7866,"Brian Lewis Libman, MBA","Patricia L. Cook, MBA",#SPILL!,#N/A,"Johan Gericke, MBA",Menes O. Chee,"Patricia L. Cook, MBA",Norma Corio,Robert W. Lord,Tyson Anwar Pratcher,Lance N. West,,,,,,,,,,6/30/2021,9/28/2021,3/27/2022,#N/A,10.085,#N/A,#N/A
Foley Trasimene II,Paysafe,PSFE,12/7/2020,3/30/2021,"9,000",613%,Financial,US/Canada,0.00%,$13.05 ,,35.4826,"William Patrick Foley, II, MBA","Philip McHugh, MBA",#N/A,"Danny Chazonoff, MBA","Izzy Dawood, CFA, MBA",Matthew George Alfred Bryant,Anthony M. Jabbour,Dagmar P. Kollmann,"Walter Minnes MacNee, MBA","Philip McHugh, MBA",Jonathan Murphy,"James Joseph Murren, CFA","Eli Nagler, MBA","Peter William James Rutland, MBA",Hilary Stewart-Jones,,,,,,6/28/2021,9/26/2021,3/25/2022,#N/A,13.045,#N/A,#N/A
CIIG Merger,Arrival,ARVL,11/18/2020,3/24/2021,"5,400",2087%,Automotive,Europe,0.10%,$13.18 ,$4.15 ,1.2499,"F. Peter Cuneo, MBA",Denis Sverdlov,Avinash Rugoobur,#N/A,Timothy Bruce Holbrow,"Tawni Cranz, EMBA","Alain Kinsch, MBA",Kristen M. O'Hara,"Jae Oh, MBA",Avinash Rugoobur,"Rexford J. Tibbens, MBA",,,,,,,,,,6/22/2021,9/20/2021,3/19/2022,#N/A,13.23,#N/A,#N/A
Newborn Acq,Nuvve,NVVE,11/12/2020,3/22/2021,132,230%,Automotive,Asia,0.00%,$9.58 ,$1.43 ,13.9155,"Gregory Poilasne, PhD, MBA","Gregory Poilasne, PhD, MBA","Ted Smith, CFA, MBA","Ted Smith, CFA, MBA","David G. Robson, CPA","Richard A. Ashby, MBA",Angela Strand Boydston,"Jon M. Montgomery, MBA","H. David Sherman, PhD, MBA","Ted Smith, CFA, MBA",Kenji Yodose,,,,,,,,,,6/20/2021,9/18/2021,3/17/2022,#N/A,9.3807,#N/A,#N/A
Longevity Acq,4D Pharma,LBPS,10/22/2020,3/19/2021,184,461%,Healthcare,Asia,66.10%,$12.37 ,$1.11 ,#N/A,"Axel Gaston Glasmacher, MD",Duncan Peyton,#N/A,#N/A,"John W. Beck, CPA","Edgardo Baracchini, Jr., PhD","Alexander D. Macrae, PhD","Paul Victor Maier, MBA",Duncan Peyton,"Katrin Rupalla, PhD","Alexander James Stevenson, PhD, MBA",,,,,,,,,,6/17/2021,9/15/2021,3/14/2022,#N/A,12.3277,#N/A,#N/A
Roth CH,PureCycle Technologies,PCT,11/16/2020,3/17/2021,826,1080%,Industrial,US/Canada,0.10%,$27.90 ,$16.30 ,6.3815,Michael Otworth,Michael Otworth,#N/A,#N/A,Michael E. Dee,"Richard Brenner, MBA",Tanya Burnell,"Jeffrey Richard Fieler, MBA",Timothy E. Glockner,"Fernando Musa, MBA","John Scott, PhD",,,,,,,,,,6/15/2021,9/13/2021,3/12/2022,#N/A,28.23,#N/A,#N/A
InterPrivate Acq,Aeva,AEVA,11/2/2020,3/12/2021,"1,803",747%,Automotive,US/Canada,1.30%,$10.44 ,$3.11 ,7.1764,Mina Rezk,Soroush Salehian Dardashti,Mina Rezk,#N/A,Saurabh Sinha,"Shahin Farshchi, PhD",Ahmed Mohamed Fattouh,Hrach Simonian,,,,,,,,,,,,,6/10/2021,9/8/2021,3/7/2022,13.04,10.63,#N/A,#N/A
Colonnade Acquisition,Ouster,OUST,12/22/2020,3/11/2021,"1,570",785%,Industrial,US/Canada,0.30%,$8.91 ,$2.33 ,5.262,Carl Bass,Angus Pacala,#N/A,Darien Spencer,"Anna Brunelle, CPA",Jorge A. del Calvo,"Emmanuel T. Hernandez, CPA",Susan Heystee,Sundari Mitra,Angus Pacala,"Remy White Trafelet, CFA",,,,,,,,,,6/9/2021,9/7/2021,3/6/2022,#N/A,8.905,#N/A,#N/A
CF Finance II,View,VIEW,11/30/2020,3/8/2021,"1,628",326%,Industrial,US/Canada,25.20%,$8.53 ,$1.95 ,35.1808,"Rao P. Mulpuri, PhD","Rao P. Mulpuri, PhD",#N/A,"Martin Neumann, PhD","Vidul Prakash, MBA","Delos M. Cosgrove, MD","Nigel Charles Gormly, CFA","Harold E. Hughes, Jr., MBA","Thomas Chris Leppert, MBA",Lisa Picard,,,,,,,,,,,6/6/2021,9/4/2021,3/3/2022,9.19,8.445,#N/A,#N/A
Switchback Energy,ChargePoint,CHPT,9/24/2020,2/26/2021,"2,401",764%,Automotive,US/Canada,0.00%,$24.70 ,$13.17 ,1.5325,#N/A,Pasquale Romano,Pasquale Romano,Lawrence Lee,Rex S. Jackson,"Roxanne Bowman, MBA",Bruce R. Chizen,Axel Harries,"Jeffrey Alan Harris, MBA","Mark Leschly, MBA","Michael Linse, MBA",Pasquale Romano,"Neil S. Suslak, MBA","Rick Wagoner, Jr., MBA",,,,,,,5/27/2021,8/25/2021,2/21/2022,#N/A,24.64,#N/A,#N/A
Longview Acq,Butterfly Network,BFLY,11/20/2020,2/12/2021,"1,457",352%,Healthcare,US/Canada,0.10%,$16.09 ,$5.81 ,17.4512,"Jonathan M. Rothberg, PhD","Todd M. Fruchterman, MD, PhD","Todd M. Fruchterman, MD, PhD","David Perri, MBA","Stephanie Fielding, MBA, CFA",Dawn Carfora,"Elazer R. Edelman, MD, PhD","Todd M. Fruchterman, MD, PhD","John H. Hammergren, MBA",Gianluca Pettiti,"S. Louise Phanstiel, CPA",Lawrence Michael Robbins,,,,,,,,,5/13/2021,8/11/2021,2/7/2022,#N/A,16.1073,#N/A,#N/A
Panacea,Nuvation Bio,NUVB,10/21/2020,2/10/2021,"1,319",918%,Healthcare,US/Canada,0.00%,$10.28 ,$2.00 ,11.5298,"Daniel G. Welch, MBA","David T. Hung, MD","David T. Hung, MD",#N/A,Jennifer Fox,"Robert B. Bazemore, Jr.","Kim D. Blickenstaff, MBA, CPA",Michelle Doig,"Kathryn E. Falberg, MBA","David T. Hung, MD",Oleg Nodelman,"Tony Vernon, MBA",,,,,,,,,5/11/2021,8/9/2021,2/5/2022,#N/A,10.4,#N/A,#N/A
Mountain Crest,Playboy,PLBY,10/1/2020,2/10/2021,381,650%,Media & Entertainment,US/Canada,0.20%,$36.03 ,,11.7766,Suhail R. Rizvi,"Ben Kohn, MBA","Ben Kohn, MBA",#N/A,"Lance Barton, MBA",Tracey Edmonds,"Ben Kohn, MBA","Su Ying Liu, PhD",James Yaffe,,,,,,,,,,,,5/11/2021,8/9/2021,2/5/2022,#N/A,36.84,#N/A,#N/A
INSU Acq II,Metromile,MILE,11/24/2020,2/9/2021,956,416%,Financial,US/Canada,0.00%,$8.88 ,$2.71 ,9.0597,David Friedberg,Dan Preston,#N/A,#N/A,#N/A,Colin H. Bryant,Betsy Z. Cohen,Ryan Graves,Dan Preston,"Vikas Singhal, MBA",,,,,,,,,,,5/10/2021,8/8/2021,2/4/2022,#N/A,8.818,#N/A,#N/A
FS Development,Gemini Therapeutics,GMTX,10/15/2020,2/5/2021,265,220%,Healthcare,US/Canada,0.00%,$12.37 ,,38.2792,#N/A,"Jason Meyenburg, MBA","Jason Meyenburg, MBA",#N/A,"Brian Piekos, MBA","Jean M. George, MBA","Carl Lee Gordon, PhD, CFA","David Charles Lubner, CPA","Jason Meyenburg, MBA","Tu Yen Ong, MD, MBA","Jason P. Rhodes, MBA","James B. Tananbaum, MD, MBA",,,,,,,,,5/6/2021,8/4/2021,1/31/2022,#N/A,12.13,#N/A,#N/A
CC Neuberger,E2open,ETWO,10/14/2020,2/4/2021,"2,570",621%,Technology,US/Canada,0.00%,$9.95 ,$2.11 ,54.1624,#N/A,"Michael Anthony Farlekas, MBA","Michael Anthony Farlekas, MBA","Peter Hantman, MBA",Jarett Jay Janik,Chinh E. Chu,"Stephen C. Daffron, PhD, MBA","Michael Anthony Farlekas, MBA",Ryan M. Hinkle,Eva F. Huston,"Timothy I. Maudlin, CPA",,,,,,,,,,5/5/2021,8/3/2021,1/30/2022,#N/A,9.98,#N/A,#N/A
AMCI Acquisition,Advent Technologies,ADN,10/13/2020,2/4/2021,358,162%,Energy,Global,58.90%,$13.26 ,$2.15 ,8.988,"Vassilios Gregoriou, PhD","Vassilios Gregoriou, PhD","William Hunter, MBA",Jim F. Coffey,"William Hunter, MBA","Skutaris Anggelos, MBA","Lawrence Matthew Clark, Jr., MBA","Emory De Castro, PhD","Katherine E. Fleming, PhD",Katrina Fritz,"William Hunter, MBA",,,,,,,,,,5/5/2021,8/3/2021,1/30/2022,#N/A,13.2,#N/A,#N/A
Novus Capital,AppHarvest,APPH,9/29/2020,1/29/2021,549,550%,Food,US/Canada,0.00%,$16.46 ,$5.85 ,18.8007,Jonathan Webb,Jonathan Webb,"David J. Lee, MBA",Marcella Butler,Loren Eggleton,Kiran Bhatraju,Greg Couch,"Anna Kohanski, MBA",Robert J. Laikin,"David J. Lee, MBA",Martha Stewart,"Jeffrey Williams Ubben, MBA",J. D. Vance,,,,,,,,4/29/2021,7/28/2021,1/24/2022,#N/A,16.295,#N/A,#N/A
Gores IV,United Wholesale Mortgage,UWMC,9/23/2020,1/21/2021,"15,125",3559%,Financial,US/Canada,0.00%,$7.64 ,$1.54 ,33.9447,Mat Ishbia,Mat Ishbia,Mat Ishbia,Melinda Wilner,Timothy Forrester,Kelly Czubak,"Alex Elezaj, MBA",Jeffrey Ishbia,"Justin R. Ishbia, CPA",Laura Lawson,"Isiah L. Thomas, III",Robert A. Verdun,Melinda Wilner,,,,,,,,4/21/2021,7/20/2021,1/16/2022,#N/A,7.5924,#N/A,#N/A
Acamar Partners,CarLotz,LOTZ,10/22/2020,1/21/2021,827,271%,Automotive,US/Canada,0.00%,$7.46 ,$1.69 ,17.5284,"Michael W. Bor, MBA","Michael W. Bor, MBA",#N/A,John Foley,"Thomas W. Stoltz, CPA",Linda Boland Abraham,"Steven G. Carrel, MBA",Sarah M. Kauss,"Dave R. Mitchell, MBA","Kimberly H. Sheehy, CPA","James E. Skinner, CPA","Luis Ignacio Solorzano Aizpuru, MBA",,,,,,,,,4/21/2021,7/20/2021,1/16/2022,#N/A,7.4699,#N/A,#N/A
Oaktree Acq,Hims,HIMS,10/1/2020,1/20/2021,"1,600",795%,Healthcare,US/Canada,0.00%,$12.20 ,$3.57 ,8.256,Andrew Dudum,Andrew Dudum,#N/A,Melissa Baird,Spencer Lee,Alex Bard,"Ambar Bhattacharyya, MBA","Lynne Chou-O'Keefe, MBA","Delos M. Cosgrove, MD","Kirsten A. Green, CFA, CPA","Jules Andrew Maltz, MBA",Andrea Perez,"David B. Wells, MBA",,,,,,,,4/20/2021,7/19/2021,1/15/2022,16.38,12.14,#N/A,#N/A
South Mountain,Billtrust,BTRS,10/19/2020,1/12/2021,"1,293",517%,Financial,US/Canada,0.00%,$15.05 ,$4.80 ,32.5272,Flint A. Lane,Flint A. Lane,"Steven Pinado, MBA",#N/A,Mark L. Shifke,Charles B. Bernicker,Robert J. Farrell,Matt Harris,"Clare Hart, MBA","Lawrence R. Irving, CPA","Juli Christina Spottiswood, CPA",,,,,,,,,,4/12/2021,7/11/2021,1/7/2022,#N/A,15,#N/A,#N/A
Social Capital III,Clover Health,CLOV,10/6/2020,1/7/2021,"3,702",447%,Healthcare,US/Canada,0.00%,$7.73 ,$1.66 ,10.3918,#N/A,Vivek Garipalli,Andrew Toy,Jamie L Reynoso,Joseph Wagner,"Chelsea Clinton, PhD",Vivek Garipalli,"William G. Robinson, Jr.",Lee A. Shapiro,Andrew Toy,"Nathaniel S. Turner, V",,,,,,,,,,4/7/2021,7/6/2021,1/2/2022,#N/A,7.35,#N/A,#N/A
LF Capital Acq,Landsea Homes,LSEA,8/31/2020,1/7/2021,630,398%,Industrial,US/Canada,33.10%,$9.62 ,$0.24 ,19.1494,"Ming Tian, MBA",John Ho,Michael Forsum,Michael Forsum,#N/A,Tim Chang,"Elias Farhat, MBA","Bruce Frank, CPA",Thomas J. Hartfield,John Ho,Robert Miller,"Scott A. Reed, MBA",Gregory P. Wilson,"Qin Zhou, MBA",,,,,,,4/7/2021,7/6/2021,1/2/2022,#N/A,9.75,#N/A,#N/A
Megalith Financial,BankMobile,BMTX,8/6/2020,1/4/2021,140,82%,Financial,US/Canada,84.30%,$11.27 ,$1.99 ,14.1178,Luvleen Sidhu,Luvleen Sidhu,#N/A,Robert Diegel,Robert H. Ramsey,Pankaj Dinodia,"A. J. Dunklau, MBA",Mike Gill,Aaron Hodari,Brent Hurley,Marcy Schwab,,,,,,,,,,4/4/2021,7/3/2021,12/30/2021,#N/A,11.85,#N/A,#N/A
Tottenham Acq,Clene Nanomedicines,CLNN,9/2/2020,12/30/2020,542,1179%,Healthcare,US/Canada,81.30%,$12.54 ,$0.96 ,0.9968,Shalom Jacobovitz,"Robert Dee Etherington, MBA","Robert Dee Etherington, MBA",#N/A,"Tae Heum Jeong, PhD","Fiona E. Costello, MD","Robert Dee Etherington, MBA","Jonathon T. Gay, MBA",David Jeffrey Matlin,"Alison H. Mosca, CPA","John Henry Stevens, MD","Chidozie Ugwumba, CFA, MBA","Reed N. Wilcox, MBA",,,,,,,,3/30/2021,6/28/2021,12/25/2021,#N/A,13.89,#N/A,#N/A
Live Oak Acq,Danimer Scientific,DNMR,10/5/2020,12/29/2020,525,263%,Industrial,US/Canada,0.00%,$32.56 ,$20.66 ,19.5423,"Stephen E. Croskrey, MBA","Stephen E. Croskrey, MBA",#N/A,Michael Smith,"John A. Dowdy, III, CPA","John Peter Amboian, MBA",Christy Basco,Philip Gregory Calhoun,Rick Hendrix,"Greg Hunt, CPA","Isao Noda, PhD",Stuart Pratt,,,,,,,,,3/29/2021,6/27/2021,12/24/2021,#N/A,36.84,#N/A,#N/A
Landcadia II,Golden Nugget Online Gaming,GNOG,6/29/2020,12/29/2020,745,236%,Media & Entertainment,US/Canada,0.00%,$15.68 ,,16.8552,Tilman Joseph Fertitta,Tilman Joseph Fertitta,Thomas Winter,#N/A,"Michael J. Harwell, CPA","Michael S. Chadwick, MBA",Scott Kelly,"Richard H. Liem, CPA",Steven L. Scheinthal,G. Michael Stevens,,,,,,,,,,,3/29/2021,6/27/2021,12/24/2021,#N/A,12.82,#N/A,#N/A
RMG Acquisition,Romeo Power,RMO,10/5/2020,12/29/2020,993,432%,Automotive,US/Canada,0.00%,$9.20 ,$0.12 ,8.73,Robert S. Mancini,"Lionel E. Selwood, Jr.","Lionel E. Selwood, Jr.",Criswell Choi,Lauren Webb,"Susan Brennan, MBA",Brady D. Ericson,"Donald S. Gottwald, MBA",Philip Kassin,"Lionel E. Selwood, Jr.","Timothy E. Stuart, MBA",Lauren Webb,"Paul S. Williams, CPA",,,,,,,,3/29/2021,6/27/2021,12/24/2021,#N/A,10.88,#N/A,#N/A
dMY Technology,Rush Street Interactive ,RSI,7/27/2020,12/29/2020,"1,780",774%,Media & Entertainment,US/Canada,0.00%,$14.91 ,,58.1857,"Neil Gary Bluhm, CPA",Gregory A. Carlin,Richard Schwartz,Mattias Stetz,"Kyle L. Sauers, CPA",Leslie Bluhm,Gregory A. Carlin,Niccolo M. de Masi,Judith Gold,Jim A. Gordon,Sheli Z. Rosenberg,Paul Wierbicki,"Harry L. You, MBA",,,,,,,,3/29/2021,6/27/2021,12/24/2021,#N/A,15,#N/A,#N/A
PropTech Acq,Porch.com,PRCH,7/31/2020,12/23/2020,523,303%,Real Estate,US/Canada,0.00%,$16.92 ,$5.41 ,37.1933,Matt Ehrlichman,Matt Ehrlichman,#N/A,"Matthew Neagle, MBA","Marty Heimbigner, EMBA, CPA",Thomas D. Hennessy,Alan Robert Pickerill,"Javier Saade, MBA",Asha Sharma,"Chris Terrill, MBA","Regi Vengalil, MBA",Margaret M. Whelan,,,,,,,,,3/23/2021,6/21/2021,12/18/2021,#N/A,16.64,#N/A,#N/A
LifeSci,Vincera Pharma,VINC,9/29/2020,12/23/2020,77,117%,Healthcare,US/Canada,0.00%,$18.87 ,$3.45 ,27.5768,"Ahmed Hamdy, MD","Ahmed Hamdy, MD","Raquel E. Izumi, PhD","Raquel E. Izumi, PhD","Alexander Seelenberger Farba, MBA",Laura I. Bushnell,"Brian J. Druker, MD","Raquel E. Izumi, PhD","John Lee, MD","Christopher P. Lowe, MBA","Mark A. McCamish, MD, PhD","Andrew Ian McDonald, PhD",Francisco D. Salva,,,,,,,,3/23/2021,6/21/2021,12/18/2021,#N/A,21.25,#N/A,#N/A
Haymaker II,ARKO Holdings,ARKO,9/9/2020,12/22/2020,"2,000",500%,Consumer,US/Canada,49.10%,$10.10 ,$2.10 ,36.6681,Arie E. Kotler,Arie E. Kotler,Arie E. Kotler,#N/A,"Donald P. Bassell, CPA","Sherman K. Edmiston, III, MBA","Michael J. Gade, MBA","Andrew R. Heyer, MBA","Steven J. Heyer, MBA","Starlette B. Johnson, MBA",Morris Willner,,,,,,,,,,3/22/2021,6/20/2021,12/17/2021,#N/A,9.92,#N/A,#N/A
Monocle Acq,AerSale,ASLE,12/9/2019,12/22/2020,370,213%,Industrial,US/Canada,93.60%,$12.47 ,$2.50 ,8.3496,Nicolas Finazzo,Nicolas Finazzo,Eric J. Zahler,#N/A,Martin Garmendia,Sai S. Devabhaktuni,C. Robert Kehler,Michael John Kirton,Robert B. Nichols,"Peter J. Nolan, MBA",Jonathan A. Seiffer,"Richard J. Townsend, MBA",Eric J. Zahler,,,,,,,,3/22/2021,6/20/2021,12/17/2021,#N/A,12.81,#N/A,#N/A
Pivotal II,XL Fleet,XL,9/18/2020,12/21/2020,"1,087",473%,Automotive,US/Canada,0.00%,$7.14 ,,10.4325,"Debora M. Frodl, MBA","Dimitri N. Kazarinoff, MBA","Thomas J. Hynes, III",#N/A,#N/A,"Declan P Flanagan, MBA",Kevin F. Griffin,Christopher M Hayes,"Thomas J. Hynes, III","Dimitri N. Kazarinoff, MBA","Jonathan J. Ledecky, MBA","Niharika Taskar Ramdev, MBA",Sarah Sclarsic,,,,,,,,3/21/2021,6/19/2021,12/16/2021,#N/A,12.12,#N/A,#N/A
Hennessy IV,Canoo,GOEV,8/18/2020,12/21/2020,"1,841",607%,Automotive,US/Canada,0.70%,$8.59 ,$2.63 ,4.6591,Anthony Aquila,Ulrich Kranz,#N/A,#N/A,Renato Carlo Giger,"Ming Hsien Chiang, MBA",Thomas Aquinas Dattilo,Claudia Romo Edelman,Gregory D. Ethridge,Arthur F. Kingsbury,Rainer E. Schmückle,Josette Sheeran,"Debra L. von Storch, CPA",,,,,,,,3/21/2021,6/19/2021,12/16/2021,#N/A,15.38,#N/A,#N/A
Schultze Acq,Clever Leaves,CLVR,7/27/2020,12/18/2020,206,158%,Cannabis,LatAm,34.70%,$11.62 ,$2.97 ,41.7987,#N/A,Kyle Detwiler,"Andrés Fajardo, MBA",#N/A,"Henry R Hague, III",Etienne H. Deffarges,"Elisabeth H. DeMarse, MBA",Kyle Detwiler,"Andrés Fajardo, MBA","Gary M. Julien, MBA",,,,,,,,,,,3/18/2021,6/16/2021,12/13/2021,#N/A,13.42,#N/A,#N/A
Social Capital II,Opendoor,OPEN,9/15/2020,12/18/2020,"4,800",1159%,Real Estate,US/Canada,0.00%,$20.32 ,$8.85 ,13.2611,Eric Wu,Eric Wu,"Andrew Low Ah Kee, MBA",#N/A,"Carrie Ann Wheeler, MBA",Adam Bain,"Cipora Herman, MBA",Jon Jaffe,Pueo G. Keffer,"Jason Kilar, MBA","John E. Rice, Jr., MBA","Glenn Solomon, MBA",,,,,,,,,3/18/2021,6/16/2021,12/13/2021,#N/A,26.81,#N/A,#N/A
Flying Eagle,Skillz,SKLZ,9/2/2020,12/16/2020,"3,250",471%,Consumer,US/Canada,0.00%,$15.98 ,$4.76 ,37.2475,#N/A,Andrew C. Paradise,#N/A,#N/A,Scott D. Henry,Jerry Bruckheimer,"Casey Chafkin, MBA",Christopher S. Gaffney,Vanna Mehta-Krantz,Andrew C. Paradise,Harry Evans Sloan,Kent Wakeford,,,,,,,,,3/16/2021,6/14/2021,12/11/2021,#N/A,30.69,#N/A,#N/A
Opes Acquisition,BurgerFi,BFI,6/30/2020,12/16/2020,143,123%,Food,US/Canada,60.50%,$14.79 ,$3.94 ,19.2034,Ophir Sternberg,"Julio A. Ramirez, MBA",Charles Guzzetta,Jim Esposito,"Michael Rabinovitch, CPA",Steven Richard Berrard,Allison Greenfield,"Gregory Mann, MBA",Martha Stewart,,,,,,,,,,,,3/16/2021,6/14/2021,12/11/2021,#N/A,14.39,#N/A,#N/A
Tenzing Acq,Reviva Pharma,RVPH,7/21/2020,12/14/2020,119,188%,Healthcare,US/Canada,86.00%,$4.66 ,$0.40 ,3.9362,"Parag Saxena, MBA","Laxminarayan Bhat, PhD","Laxminarayan Bhat, PhD",#N/A,"Narayan Prabhu, MBA, CPA","Laxminarayan Bhat, PhD",Les Funtleyder,"Richard A. Margolin, MD",Purav Patel,,,,,,,,,,,,3/14/2021,6/12/2021,12/9/2021,#N/A,8.48,#N/A,#N/A
Trine Acq,Desktop Metal,DM,8/26/2020,12/9/2020,"1,800",600%,Technology,US/Canada,0.10%,$12.91 ,,9.71,"Ric Fulop, MBA","Ric Fulop, MBA",Steve Billow,#N/A,"James Haley, MBA","Scott J. Dussault, CPA",Ali El-Siblani,"Dayna B. Grayson, MBA","Leo J. Hindery, Jr., MBA","Wen H. Hsieh, PhD","Jeff Immelt, MBA",Byron Knight,Stephen Nigro,"Steve Papa, MBA",Andy Wheeler,"Bilal Zuberi, PhD",,,,,3/9/2021,6/7/2021,12/4/2021,#N/A,17.96,#N/A,#N/A
HL Acquisitions,Fusion Fuel,HTOO,6/8/2020,12/9/2020,96,176%,Energy,Europe,7.40%,$12.38 ,$3.65 ,39.5763,"Jeffrey Evan Schwarz, MBA",#N/A,#N/A,#N/A,Frederico Figueira de Chaves,Frederico Figueira de Chaves,"António Augusto Gutierrez Sá da Costa, PhD","Alla Jezmir, MBA","Rune Magnus Lundetræ, CPA",Jaime Silva,João Teixeira Wahnon,,,,,,,,,,3/9/2021,6/7/2021,12/4/2021,#N/A,13.49,#N/A,#N/A
Gores Metropoulos,Luminar,LAZR,8/24/2020,12/2/2020,"2,900",725%,Automotive,US/Canada,0.00%,$19.73 ,,9.0045,Austin Russell,Austin Russell,Austin Russell,#N/A,Thomas Fennimore,Alec E. Gores,"Mary Lou Jepsen, PhD","Ben Kortlang, MBA",Katharine A. Martin,Scott A. McGregor,"Matthew J. Simoncini, CPA",,,,,,,,,,3/2/2021,5/31/2021,11/27/2021,#N/A,27.8,#N/A,#N/A
Kensington Capital,QuantumScape,QS,9/3/2020,11/25/2020,"3,321",1444%,Automotive,US/Canada,0.10%,$42.12 ,$31.28 ,27.2909,"Jagdeep Singh, MBA","Jagdeep Singh, MBA",#N/A,#N/A,"Kevin Hettrich, MBA",Frank Blome,Bradley W. Buss,"Louis John Doerr, MBA","Jürgen Leohold, PhD","Justin Evan Mirro, MBA","Fritz B. Prinz, PhD","Dipender Saluja, PhD",Jeffrey B. Straubel,"Jens Wiese, MBA",,,,,,,2/23/2021,5/24/2021,11/20/2021,#N/A,55.46,#N/A,#N/A
Legacy Acq,Onyx Enterprises,ID,9/21/2020,11/20/2020,331,110%,Consumer,US/Canada,96.90%,$7.84 ,,7.0945,"Prashant Shanker Pathak, MBA",Antonino Ciappina,#N/A,Ajay Roy,Kailas Agrawal,Aditya C. Jha,Darryl T. F. McCall,"Rahul Petkar, MBA",Edwin J. Rigaud,Ann M. Schwister,"Richard D. White, MBA, CPA",,,,,,,,,,2/18/2021,5/19/2021,11/15/2021,#N/A,8.9,#N/A,#N/A
Fortress Value,MP Materials,MP,7/15/2020,11/18/2020,"1,043",303%,Materials,US/Canada,0.10%,$33.93 ,$22.04 ,55.6922,"James Henry Litinsky, MBA","James Henry Litinsky, MBA",#N/A,Michael Rosenthal,Ryan Sean Corbett,"Connie Kadrovach Duckworth, MBA",Dan Gold,Maryanne R. Lavan,Drew McKnight,"Richard B. Myers, MBA","Randall John Weisenburger, MBA",,,,,,,,,,2/16/2021,5/17/2021,11/13/2021,#N/A,40.75,#N/A,#N/A
Orisun Acq,Ucommune,UK,7/6/2020,11/17/2020,765,1723%,Technology,Asia,,$2.25 ,$0.33 ,0.1638,Cheong Kwok Mun,Zhuang Kun He,#N/A,Xin Guan,Cheong Kwok Mun,Shan Shan Guo,"Mei Han, PhD, MBA",Zhuang Kun He,"Xiao Cheng Peng, MBA",Jing Hong Xu,"Jian Zhang, EMBA",Zhimo Zhao,,,,,,,,,2/15/2021,5/16/2021,11/12/2021,#N/A,3.64,#N/A,#N/A
CF Finance,GCM Grosvenor ,GCMG,8/3/2020,11/17/2020,"2,175",762%,Financial,US/Canada,58.90%,$12.28 ,$1.40 ,430.5791,"Michael Jay Sacks, MBA","Michael Jay Sacks, MBA",Jonathan R. Levin,"Francis O. Idehen, MBA","Pamela L. Bentley, CPA","Angela Blanton, MBA","Francesca Cornelli, PhD",Jonathan R. Levin,"Stephen J. Malkin, MBA",Blythe S. J. Masters,"Paul Allen Meister, PhD","Samuel C. Scott, III, MBA",,,,,,,,,2/15/2021,5/16/2021,11/12/2021,#N/A,13.33,#N/A,#N/A
B. Riley Merger II,Eos Energy Storage,EOSE,9/8/2020,11/16/2020,550,311%,Energy,US/Canada,36.80%,$16.39 ,$7.06 ,39.6722,Russell M. Stidolph,Joe Mastrangelo,#N/A,Jody Markopoulos,"Sagar C. Kurada, MBA",Alexander Dimitrief,Joe Mastrangelo,Daniel Shribman,"Krishna P. Singh, PhD",Marian Krogius Walters,Audrey A. Zibelman,,,,,,,,,,2/14/2021,5/15/2021,11/11/2021,#N/A,25.49,#N/A,#N/A
Netfin Acq,Triterras Fintech,TRIT,7/29/2020,11/10/2020,674,266%,Financial,Asia,2.90%,$7.65 ,$1.67 ,25.3727,Srinivas Koneru,Srinivas Koneru,#N/A,John Galani,"Alvin Tan, CPA","Tuck Hoong Kow, CFA","Richard M. Maurer, MBA, CPA",Matthew Paul Richards,Vanessa Slowey,Kenneth Stratton,,,,,,,,,,,2/8/2021,5/9/2021,11/5/2021,#N/A,8.25,#N/A,#N/A
